op_id,op_type,num_workers,output_queue_size,output_queue_average_size,output_queue_length,output_queue_usage_rate,sample_interval,parent_id,children_id
0,DataQueueOp,1,,,,,1000,,[1]
1,GeneratorOp,1,[3],3.0,16,0.1875,1000,0,
