full_op_name,execution_time
InitDataSetQueue-op0,2.667
GetNext-op1,59.1485
MatMul-op2,0.236
BiasAdd-op3,0.109
OneHot-op4,0.128
SoftmaxCrossEntropyWithLogits-op5,0.095
Mul-op6,0.103
Mul-op7,0.0895
Mul-op9,0.107
BiasAddGrad-op10,0.1495
MatMul-op11,0.0735
ApplyMomentum-op24,0.1325
ApplyMomentum-op25,0.0815
MatMul-op26,0.104
BiasAdd-op27,0.057
OneHot-op28,0.056
SoftmaxCrossEntropyWithLogits-op29,0.049
Mul-op30,0.053
