op_name, stream_id, start_time(ms), duration(ms)
Default/Less-op86,1,1794815847.165000,0.173
Default/Add-op87,1,1794815909.605000,0.16
Default/Select-op88,1,1794815971.201000,0.17
Default/TensorMove-op90,1,1794816038.798000,0.179
Default/ScatterNdUpdate-op91,1,1794816039.096000,0.215
Default/Equal-op92,1,1794816097.268000,0.176
Default/LogicalNot-op93,1,1794816154.612000,0.165
Default/Cast-op81,1,1794816155.316000,0.06
Default/Cast-op81,1,1794816155.742000,0.071
Default/Gather-op82,1,1794816156.173000,0.065
Default/Gather-op82,1,1794816156.563000,0.062
Default/Mul-op83,1,1794816157.011000,0.079
Default/Sin-op94,1,1794816215.753000,0.198
Default/Gather-op82,1,1794816216.530000,0.061
Default/Mul-op83,1,1794816217.002000,0.059
Default/RealDiv-op95,1,1794816279.343000,0.219
Default/Mul-op96,1,1794816343.882000,0.206
Default/Less-op86,1,1794816345.105000,0.062
Default/Add-op87,1,1794816345.555000,0.057
Default/Select-op88,1,1794816345.912000,0.056
Default/TensorMove-op90,1,1794816346.579000,0.06
Default/ScatterNdUpdate-op91,1,1794816346.755000,0.193
Default/Gather-op82,1,1794816347.326000,0.062
Default/Mul-op83,1,1794816347.750000,0.056
Default/Less-op86,1,1794816348.493000,0.065
Default/Add-op87,1,1794816348.929000,0.059
Default/Select-op88,1,1794816349.279000,0.058
Default/TensorMove-op90,1,1794816349.912000,0.057
Default/ScatterNdUpdate-op91,1,1794816350.098000,0.168
Default/RealDiv-op76,1,1794816350.668000,0.075
Default/Add-op0,1,1794816356.800000,0.067
Default/RealDiv-op1,1,1794816357.399000,0.062
Default/Sub-op2,1,1794816357.824000,0.059
Default/Add-op3,1,1794816358.234000,0.057
Default/Mul-op4,1,1794816358.647000,0.075
Default/Ceil-op5,1,1794816358.976000,0.061
Default/Mul-op4,1,1794816359.390000,0.058
Default/Floor-op6,1,1794816359.703000,0.055
Default/Sub-op7,1,1794816360.070000,0.056
Default/Add-op3,1,1794816360.471000,0.07
Default/ReduceMax-op8,1,1794816361.398000,0.054
Default/Add-op11,1,1794816364.479000,0.058
Default/RealDiv-op12,1,1794816364.887000,0.054
Default/Sub-op13,1,1794816365.447000,0.062
Default/ZerosLike-op14,1,1794816365.756000,0.059
Default/Abs-op15,1,1794816366.194000,0.056
Default/Less-op16,1,1794816366.588000,0.059
Default/Cast-op17,1,1794816367.005000,0.06
Default/Gather-op18,1,1794816367.388000,0.064
Default/Mul-op19,1,1794816367.804000,0.056
Default/Cos-op20,1,1794816368.104000,0.058
Default/Add-op21,1,1794816368.507000,0.062
Default/Mul-op19,1,1794816368.924000,0.061
Default/Less-op22,1,1794816369.694000,0.065
Default/Add-op23,1,1794816370.136000,0.055
Default/Select-op24,1,1794816370.481000,0.06
Default/TensorMove-op26,1,1794816371.114000,0.056
Default/ScatterNdUpdate-op27,1,1794816371.281000,0.159
Default/Equal-op28,1,1794816371.798000,0.061
Default/LogicalNot-op29,1,1794816372.137000,0.058
Default/Cast-op17,1,1794816372.528000,0.056
Default/Cast-op17,1,1794816372.915000,0.06
Default/Gather-op18,1,1794816373.290000,0.064
Default/Gather-op18,1,1794816373.666000,0.063
Default/Mul-op19,1,1794816374.080000,0.079
Default/Sin-op30,1,1794816374.407000,0.056
Default/Gather-op18,1,1794816374.772000,0.063
Default/Mul-op19,1,1794816375.182000,0.056
Default/RealDiv-op31,1,1794816375.548000,0.055
Default/Mul-op32,1,1794816375.908000,0.054
Default/Less-op22,1,1794816376.656000,0.08
Default/Add-op23,1,1794816377.096000,0.056
Default/Select-op24,1,1794816377.435000,0.06
Default/TensorMove-op26,1,1794816378.059000,0.056
Default/ScatterNdUpdate-op27,1,1794816378.228000,0.165
Default/Gather-op18,1,1794816378.740000,0.064
Default/Mul-op19,1,1794816379.155000,0.075
Default/Less-op22,1,1794816379.922000,0.055
Default/Add-op23,1,1794816380.365000,0.056
Default/Select-op24,1,1794816380.706000,0.056
Default/TensorMove-op26,1,1794816381.323000,0.064
Default/ScatterNdUpdate-op27,1,1794816381.501000,0.158
Default/RealDiv-op12,1,1794816382.045000,0.078
Default/Add-op33,1,1794816384.145000,0.063
Default/RealDiv-op34,1,1794816384.731000,0.059
Default/Sub-op35,1,1794816385.161000,0.058
Default/Add-op36,1,1794816385.568000,0.057
Default/Mul-op37,1,1794816385.980000,0.079
Default/Ceil-op38,1,1794816386.313000,0.06
Default/Mul-op37,1,1794816386.720000,0.056
Default/Floor-op39,1,1794816387.028000,0.056
Default/Sub-op40,1,1794816387.379000,0.058
Default/Add-op36,1,1794816387.780000,0.053
Default/ReduceMax-op41,1,1794816388.646000,0.079
Default/Add-op43,1,1794816391.619000,0.056
Default/RealDiv-op44,1,1794816392.033000,0.059
Default/Sub-op45,1,1794816392.583000,0.057
Default/ZerosLike-op46,1,1794816392.885000,0.055
Default/Abs-op47,1,1794816393.313000,0.057
Default/Less-op48,1,1794816393.687000,0.056
Default/Cast-op49,1,1794816394.091000,0.054
Default/Gather-op50,1,1794816394.466000,0.057
Default/Mul-op51,1,1794816394.866000,0.06
Default/Cos-op52,1,1794816395.168000,0.052
Default/Add-op53,1,1794816395.561000,0.056
Default/Mul-op51,1,1794816395.966000,0.055
Default/Less-op54,1,1794816396.717000,0.057
Default/Add-op55,1,1794816397.138000,0.058
Default/Select-op56,1,1794816397.485000,0.061
Default/TensorMove-op58,1,1794816398.124000,0.061
Default/ScatterNdUpdate-op59,1,1794816398.297000,0.077
Default/Equal-op60,1,1794816398.734000,0.061
Default/LogicalNot-op61,1,1794816399.068000,0.055
Default/Cast-op49,1,1794816399.454000,0.061
Default/Cast-op49,1,1794816399.846000,0.057
Default/Gather-op50,1,1794816400.234000,0.059
Default/Gather-op50,1,1794816400.608000,0.06
Default/Mul-op51,1,1794816401.023000,0.06
Default/Sin-op62,1,1794816401.327000,0.057
Default/Gather-op50,1,1794816401.696000,0.054
Default/Mul-op51,1,1794816402.097000,0.058
Default/RealDiv-op63,1,1794816402.464000,0.057
Default/Mul-op64,1,1794816402.819000,0.057
Default/Less-op54,1,1794816403.566000,0.08
Default/Add-op55,1,1794816404.011000,0.056
Default/Select-op56,1,1794816404.353000,0.056
Default/TensorMove-op58,1,1794816404.976000,0.059
Default/ScatterNdUpdate-op59,1,1794816405.146000,0.054
Default/Gather-op50,1,1794816405.561000,0.062
Default/Mul-op51,1,1794816405.975000,0.08
Default/Less-op54,1,1794816406.737000,0.053
Default/Add-op55,1,1794816407.153000,0.054
Default/Select-op56,1,1794816407.493000,0.063
Default/TensorMove-op58,1,1794816408.116000,0.062
Default/ScatterNdUpdate-op59,1,1794816408.295000,0.051
Default/RealDiv-op44,1,1794816408.742000,0.054
Default/Add-op65,1,1794816410.883000,0.058
Default/RealDiv-op66,1,1794816411.466000,0.058
Default/Sub-op67,1,1794816411.888000,0.054
Default/Add-op68,1,1794816412.293000,0.056
Default/Mul-op69,1,1794816412.712000,0.06
Default/Ceil-op70,1,1794816413.027000,0.063
Default/Mul-op69,1,1794816413.438000,0.055
