full_op_name,execution_time
Pad-op329,0.0715
Cast-op336,0.0565
TransData-op332,0.2685
Cast-op335,0.073
Conv2D-op331,0.0665
TransData-op338,0.053
Pad-op339,0.126
StridedSlice-op340,0.08
Add-op341,0.052
StridedSlice-op342,0.0685
StridedSlice-op343,0.1175
Pad-op344,0.086
Cast-op351,0.0605
TransData-op347,0.265
Cast-op350,0.0715
Conv2D-op346,0.067
TransData-op353,0.048
Pad-op354,0.124
StridedSlice-op355,0.08
Add-op356,0.056
StridedSlice-op357,0.074
StridedSlice-op358,0.12
Pad-op359,0.0755
Cast-op366,0.053
TransData-op362,0.291
Cast-op365,0.095
Conv2D-op361,0.094
TransData-op368,0.049
Pad-op369,0.1215
StridedSlice-op370,0.092
Add-op371,0.049
StridedSlice-op372,0.0755
StridedSlice-op373,0.1715
Pad-op374,0.0835
Cast-op381,0.055
TransData-op377,0.248
Cast-op380,0.053
Conv2D-op376,0.048
TransData-op383,0.074
Pad-op384,0.123
StridedSlice-op385,0.079
Add-op386,0.051
StridedSlice-op387,0.0745
StridedSlice-op388,0.1155
Pad-op389,0.0795
Cast-op396,0.056
TransData-op392,0.244
Cast-op395,0.069
Conv2D-op391,0.049
TransData-op398,0.051
Pad-op399,0.106
StridedSlice-op400,0.083
Add-op401,0.051
StridedSlice-op402,0.0785
StridedSlice-op403,0.1135
Pad-op404,0.079
Cast-op411,0.07
TransData-op407,0.246
Cast-op410,0.053
Conv2D-op406,0.047
TransData-op413,0.058
Pad-op414,0.114
StridedSlice-op415,0.093
Add-op416,0.051
StridedSlice-op417,0.0805
StridedSlice-op418,0.113
Pad-op419,0.084
Cast-op426,0.059
TransData-op422,0.246
Cast-op425,0.057
Conv2D-op421,0.049
TransData-op428,0.049
Pad-op429,0.096
StridedSlice-op430,0.057667
Add-op431,0.052
StridedSlice-op432,0.075
StridedSlice-op433,0.2765
Pad-op434,0.0815
Cast-op441,0.06
TransData-op437,0.249
Cast-op440,0.054
Conv2D-op436,0.068
TransData-op443,0.047
Pad-op444,0.118
