op_name, stream_id, start_time(ms), duration(ms)
Default/Less-op86,1,1201494771.545000,0.48
Default/Add-op87,1,1201494855.164000,0.187
Default/Select-op88,1,1201494934.925000,3.255
Default/TensorMove-op90,1,1201495610.340000,0.291
Default/ScatterNdUpdate-op91,1,1201495610.775000,0.238
Default/Equal-op92,1,1201495681.190000,0.224
Default/LogicalNot-op93,1,1201495747.727000,0.227
Default/Cast-op81,1,1201495748.817000,0.066
Default/Cast-op81,1,1201495749.282000,0.071
Default/Gather-op82,1,1201495749.769000,0.068
Default/Gather-op82,1,1201495750.213000,0.062
Default/Mul-op83,1,1201495750.718000,0.082
Default/Sin-op94,1,1201495815.981000,0.214
Default/Gather-op82,1,1201495817.025000,0.068
Default/Mul-op83,1,1201495818.137000,0.059
Default/RealDiv-op95,1,1201495891.279000,2.001
Default/Mul-op96,1,1201495961.772000,2.004
Default/Less-op86,1,1201495965.052000,0.066
Default/Add-op87,1,1201495965.543000,0.062
Default/Select-op88,1,1201495965.936000,0.058
Default/TensorMove-op90,1,1201495969.050000,0.057
Default/ScatterNdUpdate-op91,1,1201495969.234000,0.193
Default/Gather-op82,1,1201495970.476000,0.063
Default/Mul-op83,1,1201495971.531000,0.061
Default/Less-op86,1,1201495974.750000,0.061
Default/Add-op87,1,1201495975.817000,0.058
Default/Select-op88,1,1201495976.176000,0.063
Default/TensorMove-op90,1,1201495977.430000,0.058
Default/ScatterNdUpdate-op91,1,1201495977.915000,0.173
Default/RealDiv-op76,1,1201495978.519000,0.075
Default/Add-op0,1,1201495991.455000,0.072
Default/RealDiv-op1,1,1201495992.586000,0.06
Default/Sub-op2,1,1201495993.084000,0.061
Default/Add-op3,1,1201495995.074000,0.064
Default/Mul-op4,1,1201496008.908000,0.079
Default/Ceil-op5,1,1201496074.891000,0.082
Default/Mul-op4,1,1201496103.591000,0.064
Default/Floor-op6,1,1201496117.781000,0.064
Default/Sub-op7,1,1201496131.788000,0.064
Default/Add-op3,1,1201496152.872000,0.061
Default/ReduceMax-op8,1,1201496197.307000,0.062
Default/Add-op11,1,1201496332.271000,0.084
Default/RealDiv-op12,1,1201496348.043000,0.066
Default/Sub-op13,1,1201496370.015000,0.061
Default/ZerosLike-op14,1,1201496385.947000,0.062
Default/Abs-op15,1,1201496403.438000,0.062
Default/Less-op16,1,1201496421.910000,0.064
Default/Cast-op17,1,1201496432.683000,0.063
Default/Gather-op18,1,1201496469.869000,0.079
Default/Mul-op19,1,1201496493.286000,0.065
Default/Cos-op20,1,1201496506.933000,0.066
Default/Add-op21,1,1201496525.692000,0.061
Default/Mul-op19,1,1201496539.707000,0.061
Default/Less-op22,1,1201496599.595000,0.095
Default/Add-op23,1,1201496636.855000,0.068
Default/Select-op24,1,1201496657.665000,0.061
Default/TensorMove-op26,1,1201496701.564000,0.06
Default/ScatterNdUpdate-op27,1,1201496712.430000,0.174
Default/Equal-op28,1,1201496729.924000,0.059
Default/LogicalNot-op29,1,1201496744.385000,0.06
Default/Cast-op17,1,1201496762.559000,0.067
Default/Cast-op17,1,1201496780.403000,0.061
Default/Gather-op18,1,1201496796.750000,0.07
Default/Gather-op18,1,1201496811.488000,0.064
Default/Mul-op19,1,1201496830.908000,0.082
Default/Sin-op30,1,1201496844.104000,0.068
Default/Gather-op18,1,1201496861.334000,0.071
