full_op_name,execution_time
Conv2D-op331,0.718
TransData-op338,0.054
Pad-op339,0.565
StridedSlice-op340,0.482
Add-op341,0.059
StridedSlice-op342,1.201
StridedSlice-op343,0.545
Pad-op344,0.432
Cast-op351,0.064
TransData-op347,0.284
Cast-op350,0.889
Conv2D-op346,0.424
TransData-op353,0.056
Pad-op354,0.908
StridedSlice-op355,0.772
Add-op356,0.063
StridedSlice-op357,0.745
StridedSlice-op358,0.605
Pad-op359,0.743
Cast-op366,0.072
TransData-op362,0.191
Cast-op365,0.176
Conv2D-op361,0.143
TransData-op368,0.077
Pad-op369,13.083
StridedSlice-op370,4.338
Add-op371,0.063
StridedSlice-op372,3.049
StridedSlice-op373,0.62
Pad-op374,0.455
Cast-op381,0.063
TransData-op377,0.118
Cast-op380,0.051
Conv2D-op376,0.054
TransData-op383,0.075
Pad-op384,0.856
StridedSlice-op385,0.138
Add-op386,0.062
StridedSlice-op387,0.479
StridedSlice-op388,0.55
Pad-op389,0.487
Cast-op396,0.063
TransData-op392,0.122
Cast-op395,0.08
Conv2D-op391,0.057
TransData-op398,0.055
Pad-op399,0.91
StridedSlice-op400,0.454
Add-op401,0.081
StridedSlice-op402,0.767
StridedSlice-op403,0.608
Pad-op404,0.867
Cast-op411,0.099
TransData-op407,0.126
Cast-op410,0.053
Conv2D-op406,0.053
TransData-op413,0.139
Pad-op414,0.778
StridedSlice-op415,0.846
Add-op416,0.06
StridedSlice-op417,0.85
StridedSlice-op418,0.43
Pad-op419,0.336
Cast-op426,0.068
TransData-op422,0.132
Cast-op425,0.054
Conv2D-op421,0.057
TransData-op428,0.059
Pad-op429,0.259
StridedSlice-op430,0.063
Add-op431,0.051
StridedSlice-op432,0.113
StridedSlice-op433,1.267
Pad-op434,0.718
Cast-op441,0.062
TransData-op437,0.121
Cast-op440,0.057
Conv2D-op436,0.074
TransData-op443,0.054
Pad-op444,0.283
StridedSlice-op445,0.06
Add-op446,0.056
StridedSlice-op447,0.603
StridedSlice-op448,0.201
Pad-op449,0.103
Cast-op456,0.064
TransData-op452,0.113
Cast-op455,0.05
Conv2D-op451,0.056
TransData-op458,0.055
Pad-op459,0.582
StridedSlice-op460,0.082
Add-op461,0.056
StridedSlice-op462,0.754
